,N,Посада,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Ще студент,Рівень англійської,Дата заповнення,User.Agent,exp,current_job_exp,salary,Мова програмування
16,17,Software Engineer,4,1,2875,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,24,Вища,False,Advanced (просунутий),12/06/2017 13:06:57,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",4.0,1.0,2875,JavaScript
17,18,Junior Software Engineer,1,1,574,274,Київ,до 10 осіб,Стартап,чоловіча,23,Вища,False,Advanced (просунутий),12/06/2017 13:07:06,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,574,C#/.NET
18,19,Senior Software Engineer,4,0.5,3300,600,Київ,до 1000 осіб,Аутсорсингова,чоловіча,22,Вища,True,Upper-Intermediate (вище середнього),12/06/2017 13:07:10,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.5,3300,C++
20,21,Software Engineer,3,1,900,200,Київ,до 50 осіб,Аутсорсингова,чоловіча,40,Вища,False,Intermediate (середній),12/06/2017 13:07:19,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,3.0,1.0,900,Perl
24,25,Senior Software Engineer,6,1,2800,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,31,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:07:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13) AppleWebKit/604.1.21 (KHTML, like Gecko) Version/11.0 Safari/604.1.21",6.0,1.0,2800,Swift
25,26,Senior Software Engineer,6,1,3000,0,Київ,до 10 осіб,Продуктова,чоловіча,26,Неповна Вища,False,Advanced (просунутий),12/06/2017 13:07:53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",6.0,1.0,3000,JavaScript
26,27,Senior Software Engineer,10 і більше років,8,4500,0,Київ,до 50 осіб,Аутсорсингова,чоловіча,29,Вища,False,Advanced (просунутий),12/06/2017 13:07:55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,8.0,4500,Ruby/Rails
34,35,Senior Software Engineer,6,4,3620,300,Харків,більше 1000 осіб,Аутстафінгова,чоловіча,25,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:08:30,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,4.0,3620,C#/.NET
35,36,Junior Software Engineer,1,1,350,350,Ужгород,до 50 осіб,Аутсорсингова,чоловіча,26,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:08:32,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1.0,1.0,350,Java
37,38,Software Engineer,4,менше 3 місяців,2300,400,Харків,до 200 осіб,Аутстафінгова,чоловіча,26,Вища,False,Intermediate (середній),12/06/2017 13:08:36,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.0,2300,C#/.NET
40,41,Junior Software Engineer,3,1.5,450,150,Інше,до 10 осіб,Продуктова,чоловіча,27,Вища,False,Pre-intermediate (нище середнього),12/06/2017 13:09:06,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.5,450,Swift
41,42,Senior Software Engineer,5,5,2500,500,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,26,Дві вищих,False,Intermediate (середній),12/06/2017 13:09:21,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,5.0,2500,Java
42,43,Senior Software Engineer,5,1,3230,380,Київ,до 50 осіб,Продуктова,чоловіча,25,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:09:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.0,3230,Swift
43,44,Software Engineer,2,менше 3 місяців,1200,500,Київ,до 10 осіб,Аутсорсингова,чоловіча,23,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:09:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,1200,PHP
44,45,Technical Lead,6,4,3400,250,Київ,більше 1000 осіб,Аутстафінгова,чоловіча,36,Неповна Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:09:29,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPad5,1;FBMD/iPad;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/;FBID/tablet;FBLC/en_US;FBOP/5;FBRV/0]",6.0,4.0,3400,Perl
46,47,Senior Software Engineer,5,1,3500,2000,Київ,до 10 осіб,Продуктова,чоловіча,21,Неповна Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:09:30,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.0,3500,PHP
47,48,Junior Software Engineer,0.5,0.5,350,150,Львів,до 50 осіб,Аутсорсингова,чоловіча,26,Вища,False,Intermediate (середній),12/06/2017 13:09:34,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,350,Ruby/Rails
52,53,Technical Lead,10 і більше років,4,4500,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,35,Вища,False,Advanced (просунутий),12/06/2017 13:09:57,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10.0,4.0,4500,C++
53,54,Software Engineer,5,2,450,150,Інше,до 200 осіб,Аутсорсингова,чоловіча,27,Вища,False,Pre-intermediate (нище середнього),12/06/2017 13:09:59,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,2.0,450,C#/.NET
54,55,Technical Lead,6,3,3000,500,Київ,до 10 осіб,Аутстаффинговая,чоловіча,24,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:10:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,3.0,3000,PHP
55,56,Software Engineer,6,6,2550,150,Київ,до 1000 осіб,Продуктова,чоловіча,35,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:10:04,"Mozilla/5.0 (Linux; Android 5.1.1; Nexus 4 Build/LMY48T; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",6.0,6.0,2550,C#/.NET
56,57,Software Engineer,6,4,1000,200,Житомир,до 10 осіб,Продуктова,чоловіча,29,Вища,False,Intermediate (середній),12/06/2017 13:10:07,"Mozilla/5.0 (Windows Phone 10.0; Android 6.0.1; Microsoft; Lumia 640 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Mobile Safari/537.36 Edge/15.15063",6.0,4.0,1000,C#/.NET
57,58,Software Engineer,3,1.5,1800,500,Київ,до 200 осіб,Продуктова,чоловіча,25,Вища,False,Intermediate (середній),12/06/2017 13:10:14,"Mozilla/5.0 (X11; Fedora; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",3.0,1.5,1800,PHP
58,59,Software Engineer,2,1.5,2850,850,Київ,до 200 осіб,Аутсорсингова,чоловіча,23,Вища,True,Intermediate (середній),12/06/2017 13:10:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.5,2850,Ruby/Rails
59,60,Software Engineer,3,3,1100,200,Запоріжжя,до 50 осіб,Аутсорсингова,чоловіча,23,Вища,False,Pre-intermediate (нище середнього),12/06/2017 13:10:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,3.0,1100,JavaScript
60,61,Junior Software Engineer,1,10 і більше років,700,0,Харків,до 1000 осіб,Аутсорсингова,чоловіча,40,Вища,False,Intermediate (середній),12/06/2017 13:10:29,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,10.0,700,JavaScript
62,63,Senior Software Engineer,4,менше 3 місяців,3400,1600,Київ,до 200 осіб,Аутстафінгова,чоловіча,26,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:10:42,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.0,3400,Scala
63,64,Senior Software Engineer,7,4,4000,500,Харків,до 200 осіб,Аутсорсингова,чоловіча,34,Вища,False,Advanced (просунутий),12/06/2017 13:10:45,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,4.0,4000,Java
65,66,Senior Software Engineer,5,4,2390,1000,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,29,Неповна Вища,False,Intermediate (середній),12/06/2017 13:11:08,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,5.0,4.0,2390,Java
66,67,Software Engineer,3,3,700,200,Вінниця,до 10 осіб,Аутсорсингова,чоловіча,22,Вища,True,Pre-intermediate (нище середнього),12/06/2017 13:11:10,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/Carrier;FBID/phone;FBLC/ru_RU;FBOP/5;FBRV/0]",3.0,3.0,700,PHP
68,69,Software Engineer,1.5,0.5,900,900,Київ,до 10 осіб,Стартап,чоловіча,21,Неповна Вища,True,Upper-Intermediate (вище середнього),12/06/2017 13:11:17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,0.5,900,Python
69,70,Software Engineer,3,3,1875,400,Львів,до 200 осіб,Аутсорсингова,чоловіча,25,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:11:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",3.0,3.0,1875,C#/.NET
71,72,Senior Software Engineer,3,2,2300,500,Київ,до 50 осіб,Продуктова,чоловіча,27,Вища,False,Intermediate (середній),12/06/2017 13:11:28,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",3.0,2.0,2300,JavaScript
73,74,Software Engineer,2,0.5,1700,950,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,25,Вища,False,Intermediate (середній),12/06/2017 13:11:36,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",2.0,0.5,1700,C++
74,75,Junior Software Engineer,0.25,менше 3 місяців,230,58,Полтава,до 10 осіб,Продуктова,чоловіча,27,Технікум / Коледж,False,Pre-intermediate (нище середнього),12/06/2017 13:11:42,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi Note 3 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.25,0.0,230,PHP
75,76,Senior Software Engineer,6,0.25,4000,0,Львів,до 10 осіб,Продуктова,чоловіча,25,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:11:44,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",6.0,0.25,4000,Swift
76,77,Senior Software Engineer,5,3,4400,800,Київ,до 10 осіб,Аутстафінгова,чоловіча,26,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:11:51,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",5.0,3.0,4400,JavaScript
78,79,Software Engineer,2,1.5,500,100,Київ,до 10 осіб,Стартап,чоловіча,25,Вища,False,Intermediate (середній),12/06/2017 13:11:55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",2.0,1.5,500,JavaScript
79,80,Senior Software Engineer,6,1,3800,300,Віддалено,до 10 осіб,Стартап,чоловіча,25,Неповна Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:12:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,1.0,3800,JavaScript
82,83,Junior Software Engineer,0.5,0.5,300,100,Львів,до 10 осіб,Аутсорсингова,чоловіча,17,Середня,False,Intermediate (середній),12/06/2017 13:12:05,"Mozilla/5.0 (Linux; Android 7.0; SM-G925F Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",0.5,0.5,300,JavaScript
83,84,Senior Software Engineer,8,1,3000,500,Одеса,до 10 осіб,Продуктова,чоловіча,30,Вища,False,Intermediate (середній),12/06/2017 13:12:06,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",8.0,1.0,3000,Java
84,85,Junior Software Engineer,2,1,400,0,Харків,до 10 осіб,Аутсорсингова,чоловіча,26,Вища,False,Intermediate (середній),12/06/2017 13:12:16,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,400,C
85,86,Senior Software Engineer,6,0.5,4500,1200,Київ,до 50 осіб,Продуктова,чоловіча,27,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:12:20,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/95.0.0.54.70;FBBV/59901094;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/Carrier;FBID/phone;FBLC/ru_RU;FBOP/5;FBRV/0]",6.0,0.5,4500,JavaScript
87,88,Junior Software Engineer,0.5,0.5,600,0,Київ,до 10 осіб,Аутсорсингова,чоловіча,19,Неповна Вища,True,Upper-Intermediate (вище середнього),12/06/2017 13:12:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.5,600,Python
88,89,Software Engineer,2,1,1600,200,Львів,до 200 осіб,Аутсорсингова,чоловіча,22,Вища,True,Intermediate (середній),12/06/2017 13:12:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,1600,Swift
90,91,Senior Software Engineer,4,4,2800,400,Дніпро,до 50 осіб,Аутсорсингова,чоловіча,35,Вища,False,Intermediate (середній),12/06/2017 13:12:35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,4.0,2800,Ruby/Rails
91,92,Junior Software Engineer,1,1,1000,400,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,33,Вища,False,Advanced (просунутий),12/06/2017 13:12:37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,1000,C#/.NET
92,93,Software Engineer,3,2,1500,600,Дніпро,до 200 осіб,Аутсорсингова,жіноча,29,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:12:40,"Mozilla/5.0 (Linux; Android 7.0; Nexus 6 Build/NBD92G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.132 Mobile Safari/537.36",3.0,2.0,1500,PHP
93,94,Senior Software Engineer,10 і більше років,0.5,4200,1800,Київ,до 1000 осіб,Аутстафінгова,чоловіча,32,Вища,False,Intermediate (середній),12/06/2017 13:12:41,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.5,4200,Ruby/Rails
94,95,Software Engineer,4,0.5,1700,300,Харків,до 1000 осіб,Аутсорсингова,чоловіча,27,Технікум / Коледж,False,Intermediate (середній),12/06/2017 13:12:42,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",4.0,0.5,1700,JavaScript
95,96,Junior Software Engineer,0.5,0.5,640,0,Київ,до 50 осіб,Аутсорсингова,чоловіча,29,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:12:53,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",0.5,0.5,640,JavaScript
97,98,Software Engineer,2,1,1200,400,Київ,до 1000 осіб,Аутсорсингова,чоловіча,21,Вища,True,Intermediate (середній),12/06/2017 13:12:55,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",2.0,1.0,1200,Java
98,99,Software Engineer,4,0.5,2600,1800,Київ,більше 1000 осіб,Аутстафінгова,чоловіча,25,Вища,False,Intermediate (середній),12/06/2017 13:12:55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3125.0 Safari/537.36",4.0,0.5,2600,JavaScript
100,101,Junior Software Engineer,1.5,1,1000,400,Харків,до 200 осіб,Аутсорсингова,жіноча,21,Неповна Вища,True,Upper-Intermediate (вище середнього),12/06/2017 13:13:19,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.0,1000,C#/.NET
101,102,Software Engineer,2,2,1650,450,Київ,до 50 осіб,Аутсорсингова,чоловіча,27,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:13:24,"Mozilla/5.0 (Linux; Android 7.1.1; Nexus 6 Build/NOF26W) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2.0,2.0,1650,Java
107,108,Senior Software Engineer,9,менше 3 місяців,3700,200,Харків,до 200 осіб,Аутстафінгова,чоловіча,32,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:13:53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",9.0,0.0,3700,Objective-C
110,111,Software Engineer,2,2,1150,400,Харків,більше 1000 осіб,Аутсорсингова,чоловіча,29,Вища,False,Advanced (просунутий),12/06/2017 13:14:30,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",2.0,2.0,1150,Java
111,112,Technical Lead,10 і більше років,10 і більше років,4150,150,Дніпро,до 200 осіб,Аутстафінгова,чоловіча,33,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:14:33,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10.0,10.0,4150,C
113,114,Senior Software Engineer,5,менше 3 місяців,3500,500,Львів,до 10 осіб,Аутсорсингова,чоловіча,28,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:14:47,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14F89 Twitter for iPhone",5.0,0.0,3500,JavaScript
114,115,Junior Software Engineer,1.5,0.5,685,250,Київ,до 1000 осіб,Аутсорсингова,чоловіча,21,Неповна Вища,False,Intermediate (середній),12/06/2017 13:14:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1.5,0.5,685,Python
116,117,Senior Software Engineer,5,0.25,3200,200,Харків,до 50 осіб,Аутсорсингова,чоловіча,25,Неповна Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:15:04,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,0.25,3200,Java
118,119,Software Engineer,3,0.5,2250,0,Одеса,до 1000 осіб,Продуктова,чоловіча,29,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:15:25,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.5,2250,Java
120,121,Junior Software Engineer,0.25,менше 3 місяців,500,0,Вінниця,до 50 осіб,Аутсорсингова,чоловіча,22,Неповна Вища,False,Advanced (просунутий),12/06/2017 13:15:42,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.0,500,Java
123,124,Software Engineer,3,1.5,2350,550,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,25,Вища,False,Upper-Intermediate (вище середнього),12/06/2017 13:16:13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.5,2350,JavaScript
127,128,Software Engineer,4,3,1000,150,Харків,до 50 осіб,Аутсорсингова,чоловіча,30,Вища,False,Intermediate (середній),12/06/2017 13:16:57,Mozilla/5.0 (X11; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0,4.0,3.0,1000,PHP
